post,presentation
"title='Former African Leaders Join Nigerian Presidential Debate' key_findings=PostFindings(findings=[KeyFinding(type='Claim of notable endorsement', description=""The post suggests that former African Presidents, including Nigeria's Buhari, endorse Tinubu, Atiku, Obi, and 15 other candidates.""), KeyFinding(type='Urgency in political context', description=""The post is labeled as 'Breaking', indicating a time-sensitive political statement that may influence voter opinion.""), KeyFinding(type='Influential source', description='Shared by a verified user representing news and political analysis in Nigeria, which may lend credibility to the claim.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim', rationale='To ensure that the statement regarding the involvement of former Presidents and the endorsement is accurate and not misleading.'), RecommendedAction(action='Could be flagged for potential misinformation', rationale='The nature of the claim is significant and may affect public perception and the electoral process.'), RecommendedAction(action='May warrant monitoring for engagement spike', rationale=""Due to the claim's breaking news status, it may attract high engagement, warranting close observation."")]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1628420844555849728', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.58, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.1)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.019), 'friends': np.float64(0.012), 'total': np.float64(0.03)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 595, 'user_friends': 836, 'top_claims': ['Ex-African Presidents, Buhari, Present as Tinubu, Atiku, Obi, 15 Other Presidential Candidates Sign Fresh'], 'text': 'Breaking! Ex-African Presidents, Buhari, Present as Tinubu, Atiku, Obi, 15 Other Presidential Candidates Sign Fresh https:t.coAjKBTdIvmB', 'user_name': 'NPOReports🇳🇬', 'user_location': 'Nigeria', 'user_description': 'Official Twitter Handle of NPOReports (previously Nigeria Politics Online). We report, analyze and set agenda for Democratic growth', 'user_created': '2019-04-28 12:17:35+00:00', 'spam_score': 0.2542857142857143}"
"title='Over 6.7 Million PVCs Yet to be Collected in Nigeria' key_findings=PostFindings(findings=[KeyFinding(type='Claim Verification', description='The post claims over 6.7 million Nigerians have not collected their PVCs across 17 states and the Federal Government.'), KeyFinding(type='Emotional Signal', description=""The message expresses urgency regarding citizens' access to voting materials, highlighting a potential voter turnout concern.""), KeyFinding(type='Awareness Issue', description='The post raises awareness about the importance of PVC collection in the upcoming elections.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim', rationale='To establish the accuracy of the statistic regarding uncollected PVCs.'), RecommendedAction(action='Could be flagged for potential misinformation', rationale='If the claim cannot be substantiated or is misleading without proper context.'), RecommendedAction(action='May warrant further monitoring for engagement spike', rationale='Due to the emotional intensity and urgency expressed in the post, further discussions may arise.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1621433308562309120', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.811, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.0), 'total': np.float64(0.1)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.002), 'total': np.float64(0.002)}, 'influence_score': {'followers': np.float64(0.023), 'friends': np.float64(0.011), 'total': np.float64(0.034)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': False, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 1.0, 'user_followers': 2377, 'user_friends': 618, 'top_claims': [""Over 6.7 million Nigerians still haven't collected their Permanent Voter Cards PVCs in 17 states and the Federal""], 'text': ""Over 6.7 million Nigerians still haven't collected their Permanent Voter Cards PVCs in 17 states and the Federal https:t.coPQMgh3DqpO"", 'user_name': 'O R O D A T A', 'user_location': 'mail@orodataviz.com', 'user_description': 'Fostering equitable access to information. Improving data accessibility for citizens, captains of industry, civil society, and media.', 'user_created': '2015-04-27 11:34:30+00:00', 'spam_score': 0.2543884892086331}"
"title=""Borno's Voter Statistics: Misleading Claims Under Scrutiny"" key_findings=PostFindings(findings=[KeyFinding(type='Claim Verification', description='Post claims Borno has over two million voters, which requires verification.'), KeyFinding(type='Statistical Increase', description='The post states an 11% increase in Permanent Voters Card collection in Borno.'), KeyFinding(type='Urgency in Misinformation Monitoring', description='The post could influence public perception regarding voter registration in Borno.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the claim about Borno's voter numbers"", rationale='To confirm the accuracy of the voting statistics stated in the post.'), RecommendedAction(action='Could be flagged for potential misinformation', rationale='The claim about an 11% increase may be misleading or exaggerated, needing further context.'), RecommendedAction(action='May warrant monitoring for future engagement spikes', rationale=""Given the user's significant follower count, any misinformation spread could have a wide impact."")]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1629552585521676288', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.507, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.0), 'total': np.float64(0.02)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.0), 'total': np.float64(0.004)}, 'influence_score': {'followers': np.float64(0.027), 'friends': np.float64(0.016), 'total': np.float64(0.043)}, 'context_penalty': 0.01}, 'requires_additional_context': True, 'is_famous_poster': False, 'famous_entities_identified': False, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 1.0, 'favorites': 0.0, 'user_followers': 12486, 'user_friends': 9381, 'top_claims': ['Borno has over two million voters and experienced an 11 uptick in Permanent Voters Card PVC collection'], 'text': 'Borno has over two million voters and experienced an 11 uptick in Permanent Voters Card PVC collection compared https:t.coA8NEEfpXzf', 'user_name': ""I'm not a woman,I'm a god...Phoenix"", 'user_location': 'planet Zao', 'user_description': ""I'M AN EXPERIENCE!..✨Radio/Tv Presenter\r\n✨RedCarpetHost ✨Compere\r\n✨Writer \r\n✨VOA\r\n✨VoraciousReader\r\n✨TeaAddict\r\n✨WineLover\r\n✨Content Creator & Sourcer https://t.co/pyOdIf8gyq"", 'user_created': '2012-09-15 12:54:07+00:00', 'spam_score': 0.2622832260507384}"
"title='Claim: PDP Rivers Lacks Governorship Candidate' key_findings=PostFindings(findings=[KeyFinding(type='Claim', description='The user asserts that PDP Rivers currently has no governorship candidate.'), KeyFinding(type='User Engagement', description='The post has low engagement with only 1 retweet and no favorites.'), KeyFinding(type='Audience Appeal', description='The post addresses PDP membersDirectly, suggesting potential party concerns.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the claim about the PDP Rivers' governorship candidate status."", rationale=""The assertion could significantly affect public perception of the party's organizational structure.""), RecommendedAction(action='Monitor the post for any changes in engagement or responses.', rationale='Given that the urgency is moderately high, increased interaction may follow if others engage with the topic.'), RecommendedAction(action='Could be flagged for potential misinformation due to the importance of accurate candidate information in elections.', rationale='The accuracy of such claims is crucial in maintaining democratic integrity during election preparations.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1637749221334941440', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Low', 'priority_score': 0.384, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.31)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.03)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.0), 'total': np.float64(0.004)}, 'influence_score': {'followers': np.float64(0.025), 'friends': np.float64(0.015), 'total': np.float64(0.04)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 1.0, 'favorites': 0.0, 'user_followers': 5235.0, 'user_friends': 5707, 'top_claims': ['PDP Rivers, at moment has no governorship candidate'], 'text': 'CPOnuegbu Do you know that PDP Rivers, at moment has no governorship candidate? Please my dear PDP people of River https:t.co3C3pi6ueXt', 'user_name': 'ahMed A. Hassan', 'user_location': 'Earth | CL: Unfixed (Nigeria)', 'user_description': 'Senior Business & Digital Tech Specialist. Open networker. Follow #GuidanceByAhMed for my free personal and business growth tips.', 'user_created': '2010-06-20 23:11:42+00:00', 'spam_score': 0.2578571428571429}"
"title='IGP Baba Approves Election Planning Team Across States' key_findings=PostFindings(findings=[KeyFinding(type='Claim regarding official approval', description='The post claims that IGP Usman Baba has approved the establishment of an election planning, monitoring, and evaluation team.'), KeyFinding(type='Related to electoral monitoring', description='The formation of such a team aligns with standard practices ahead of elections to ensure transparency and efficiency.'), KeyFinding(type='User represents an ordinary citizen', description='The post comes from a user described as an entrepreneur which may contribute to the perception of credibility.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim', rationale=""To ascertain the authenticity of IGP Usman Baba's approval regarding the establishment of the election team.""), RecommendedAction(action='Could be flagged for potential misinformation', rationale='Due to the significance of the claim in relation to elections, ensuring factual accuracy is paramount.'), RecommendedAction(action='May warrant monitoring for engagement spike', rationale=""As elections approach, such claims can become highly discussed; observing the post's traction may provide insights into public interest."")]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1623744763722665984', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Low', 'priority_score': 0.381, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.31)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.03)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.026), 'friends': np.float64(0.015), 'total': np.float64(0.041)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 7639, 'user_friends': 6390, 'top_claims': ['IGP, Usman Baba has approved the setting up of an election planning, monitoring amp; evaluation team across states'], 'text': 'IGP, Usman Baba has approved the setting up of an election planning, monitoring amp; evaluation team across states, to https:t.cohoXY2RGq6B', 'user_name': '◀ TRANS🅿🅾RTE® ▶🌐 🚛🇳🇬', 'user_location': 'Kano/Lagos, Nigeria', 'user_description': 'An Entrepreneur | National Transporter | and supplier 🤠 Rest in Jannah Dad😥, I love you Mommy 😍, 💯', 'user_created': '2019-06-22 06:11:17+00:00', 'spam_score': 0.2113888888888889}"
"title='Nigerian Army Troops Equipped with New MRAP Vehicle' key_findings=PostFindings(findings=[KeyFinding(type='Claim', description='The post claims that Nigerian Army troops are seen patrolling with a new CSVP3 BigFoot MRAP vehicle.'), KeyFinding(type='Context', description='The information may reflect on military capabilities and operations in Nigeria.'), KeyFinding(type='Engagement', description='The post has garnered some engagement with 2 retweets and 9 favorites.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim about the CSVP3 BigFoot MRAP.', rationale='To ensure that the information regarding the troop presence and equipment is accurate.'), RecommendedAction(action='Could be flagged for potential misinformation if unverified.', rationale='Given the military context, unsubstantiated claims may lead to public misunderstanding.'), RecommendedAction(action='May warrant monitoring for engagement spikes in military-related discussions.', rationale='The claim could influence public perception on military deployments and activities.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1629890270153064448', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.585, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.1)}, 'engagement_score': {'retweets': np.float64(0.006), 'favorites': np.float64(0.007), 'total': np.float64(0.013)}, 'influence_score': {'followers': np.float64(0.016), 'friends': np.float64(0.005), 'total': np.float64(0.021)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': True, 'simplicity': True, 'retweets': 2.0, 'favorites': 9.0, 'user_followers': 264, 'user_friends': 18, 'top_claims': ['Nigerian Army Troops seen in a Spanking New Poly Technologies, Inc. CSVP3 BigFoot MRAP, Patrolling Around P'], 'text': 'Nigerian Army Troops seen in a Spanking New Poly Technologies, Inc. CSVP3 BigFoot MRAP, Patrolling Around P https:t.co8zZdapXADe', 'user_name': 'Military News Nigeria.', 'user_location': nan, 'user_description': nan, 'user_created': '2022-08-26 17:00:04+00:00', 'spam_score': 0.2692857142857143}"
"title='Old Naira Notes Legitimacy Claim by Peter Obi' key_findings=PostFindings(findings=[KeyFinding(type='Claim of Currency Status', description='Peter Obi claims that old Naira notes are officially accepted as legal tender.'), KeyFinding(type='User Influence', description='The post has a high engagement level with over 1,200 retweets and nearly 4,700 favorites.'), KeyFinding(type='Emotional Appeal', description='The post contains emotionally charged language, signaling urgency around the claim.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim regarding the status of old Naira notes.', rationale='The claim made has significant engagement and may influence public perception and behavior towards currency usage.'), RecommendedAction(action='Could be flagged for potential misinformation.', rationale='As this claim may not align with the current official stance on currency, it warrants scrutiny.'), RecommendedAction(action='May warrant monitoring for engagement spikes.', rationale=""Given the post's high share and like rates, tracking further shares could help to pre-empt misinformation spread."")]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1636678445949243136', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.932, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.14)}, 'engagement_score': {'retweets': np.float64(0.039), 'favorites': np.float64(0.028), 'total': np.float64(0.066)}, 'influence_score': {'followers': np.float64(0.044), 'friends': np.float64(0.007), 'total': np.float64(0.051)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 1272.0, 'favorites': 4662.0, 'user_followers': 3381611.0, 'user_friends': 69, 'top_claims': ['OLD NOTES ARE OFFICIALLY ACCEPTED AS LEGAL TENDER'], 'text': 'Finally, OLD NOTES ARE OFFICIALLY ACCEPTED AS LEGAL TENDER Source: Mark My Words CBNGOVERNOR SanwoAgain Tinubu', 'user_name': 'Peter Obi', 'user_location': 'Nigeria', 'user_description': 'Former Governor, Anambra State. LP Presidential Candidate, 2023. Tweets by him are signed -PO.', 'user_created': '2018-10-12 16:05:23+00:00', 'spam_score': 0.2542857142857143}"
"title='Controversial Claim About Nigerian Election Choice' key_findings=PostFindings(findings=[KeyFinding(type='Claim about election choice', description='The post claims that Nigerians chose Bola Tinubu over Peter Obi in the election.'), KeyFinding(type='Emotional tone', description='The post contains an emotional and controversial remark related to the electoral decision.'), KeyFinding(type='User engagement', description='The post originates from a well-known user, potentially affecting its reach and perception.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the claim about the election results.', rationale='The assertion about Nigerians choosing Tinubu over Obi could be factually incorrect or misleading.'), RecommendedAction(action='May warrant monitoring for engagement spikes.', rationale='Given the controversial nature of the post, it could attract further engagement that may need oversight.'), RecommendedAction(action='Could be flagged for potential misinformation.', rationale='The combination of the claimed fact and the emotional tone suggests it might spread misinformation.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1630840773129240576', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'High', 'priority_score': 0.725, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.555)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.14)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.004), 'total': np.float64(0.004)}, 'influence_score': {'followers': np.float64(0.017), 'friends': np.float64(0.01), 'total': np.float64(0.026)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 2.0, 'user_followers': 305, 'user_friends': 273, 'top_claims': ['Nigerians chose Tinubu over Peter Obi'], 'text': 'Nigerians chose Tinubu over Peter Obi and after you ask why people are gay with all the nyash they see https:t.coPL0UovU7tO', 'user_name': 'BADMAN JOSE 🦁', 'user_location': nan, 'user_description': 'Am the only devil here 😈', 'user_created': '2021-08-21 18:47:08+00:00', 'spam_score': 0.2575572519083969}"
"title='Tinubu Calls for Calm Amid Violence Rumors in Lagos' key_findings=PostFindings(findings=[KeyFinding(type='Emotional Signal', description=""Tinubu's statement aims to alleviate public anxiety over potential violence.""), KeyFinding(type='Factual Claim', description='Reports suggest possible violence in Lagos during the election period.'), KeyFinding(type='Public Concern', description='The post reflects heightened public concern and fear related to the electoral process.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim about potential violence.', rationale='The claim may affect public sentiment and necessitate accurate reporting.'), RecommendedAction(action='Could be flagged for potential misinformation around violence reports.', rationale='The urgency and emotional intensity warrant careful scrutiny to prevent panic.'), RecommendedAction(action='May warrant monitoring for engagement spikes as elections approach.', rationale='Increased interactions may indicate growing public concern and influence.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1630200623126724608', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.863, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.14)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.005), 'total': np.float64(0.009)}, 'influence_score': {'followers': np.float64(0.031), 'friends': np.float64(0.008), 'total': np.float64(0.039)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 1.0, 'favorites': 4.0, 'user_followers': 41537, 'user_friends': 128, 'top_claims': ['Tinubu Urges Calm Over Reports Of Possible Violence In Lagos'], 'text': 'NigeriaDecides2023: Tinubu Urges Calm Over Reports Of Possible Violence In Lagos https:t.cohabbZbtqvc https:t.co4cWVkOq9bl', 'user_name': 'Independent Nigeria', 'user_location': 'Lagos, Nigeria', 'user_description': 'Official Twitter handle of Independent Newspapers Nigeria, the most read newspaper among the business and political elites.', 'user_created': '2012-03-23 08:30:33+00:00', 'spam_score': 0.2955038759689923}"
"title='Sanwo-Olu Leads in 18 of 19 Council Areas in Lagos Polls' key_findings=PostFindings(findings=[KeyFinding(type='claim', description='The post claims Lagos Governor Sanwo-Olu has a lead in 18 out of 19 council areas as reported by INEC.'), KeyFinding(type='emotional signal', description='The language suggests confidence and approval towards Sanwo-Olu’s performance in the polls.'), KeyFinding(type='urgency', description='The claim is categorized as very urgent, indicating it may be time-sensitive in the electoral context.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the referenced claim about Sanwo-Olu's lead."", rationale='The accuracy of electoral outcomes is critical, and verifying this claim could help in addressing possible misinformation.'), RecommendedAction(action='Could be flagged for potential misinformation.', rationale='Given the urgency and emotional tone of the post, it may lead to spreading unverified information if not accurate.'), RecommendedAction(action='May warrant further monitoring for engagement spikes.', rationale='As elections can mobilize significant public interest, monitoring the spread of this post could be important.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1630315603268366336', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.797, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.11)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.003), 'friends': np.float64(0.009), 'total': np.float64(0.012)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 2.0, 'user_friends': 133, 'top_claims': ['Sanwo-Olu Leads In 18 Out Of 19 Council Areas Announced By Electoral Body, INEC'], 'text': 'Polls: Lagos Governor, Sanwo-Olu Leads In 18 Out Of 19 Council Areas Announced By Electoral Body, INEC - https:t.cocLxu7hUnSL', 'user_name': 'Mike Nolly', 'user_location': nan, 'user_description': 'Gentleness', 'user_created': '2022-07-17 02:12:39+00:00', 'spam_score': 0.2905649717514125}"
